,geneID,gene_symbol,gene_name,gene_other_symbol,gene_synonyms
312,391,RHOG,ras homolog family member G,ARHG,"rho-related GTP-binding protein RhoG|ras homolog gene family, member G (rho G)"
313,392,ARHGAP1,Rho GTPase activating protein 1,"CDC42GAP, RHOGAP, RHOGAP1, p50rhoGAP","rho GTPase-activating protein 1|CDC42 GTPase-activating protein|GTPase-activating protein rhoGAP|GTPase-activating protein rhoOGAP|GTPase-activating protein, Rho, 1|rho-related small GTPase protein activator|rho-type GTPase-activating protein 1"
314,393,ARHGAP4,Rho GTPase activating protein 4,"C1, RGC1, RhoGAP4, SrGAP4, p115",rho GTPase-activating protein 4|Rho-GAP hematopoietic protein C1|rho-type GTPase-activating protein 4
315,394,ARHGAP5,Rho GTPase activating protein 5,"GFI2, RhoGAP5, p190-B, p190BRhoGAP",rho GTPase-activating protein 5|growth factor independent 2|p100 RasGAP-associated p105 protein|p105 RhoGAP|rho-type GTPase-activating protein 5
316,395,ARHGAP6,Rho GTPase activating protein 6,"RHOGAP6, RHOGAPX-1",rho GTPase-activating protein 6|Rho-type GTPase-activating protein RhoGAPX-1|rho-type GTPase-activating protein 6
317,396,ARHGDIA,Rho GDP dissociation inhibitor alpha,"GDIA1, HEL-S-47e, NPHS8, RHOGDI, RHOGDI-1","rho GDP-dissociation inhibitor 1|GDP-dissociation inhibitor, aplysia RAS-related 1|Rho GDP dissociation inhibitor (GDI) alpha|epididymis secretory sperm binding protein Li 47e"
318,397,ARHGDIB,Rho GDP dissociation inhibitor beta,"D4, GDIA2, GDID4, LYGDI, Ly-GDI, RAP1GN1, RhoGDI2",rho GDP-dissociation inhibitor 2|Rho GDI 2|Rho GDP dissociation inhibitor (GDI) beta|rho-GDI beta
319,398,ARHGDIG,Rho GDP dissociation inhibitor gamma,RHOGDI-3,rho GDP-dissociation inhibitor 3|Rho GDP dissociation inhibitor (GDI) gamma|RhoGDI gamma|rho GDI 3|rho-GDI gamma
320,399,RHOH,ras homolog family member H,"ARHH, TTF","rho-related GTP-binding protein RhoH|GTP-binding protein TTF|TTF, translocation three four|ras homolog gene family, member H"
321,401,PHOX2A,paired like homeobox 2a,"ARIX, CFEOM2, FEOM2, NCAM2, PMX2A",paired mesoderm homeobox protein 2A|ARIX1 homeodomain protein|aristaless homeobox homolog|aristaless homeobox protein homolog|arix homeodomain protein|paired-like homeobox 2A
322,402,ARL2,ADP ribosylation factor like GTPase 2,ARFL2,ADP-ribosylation factor-like protein 2|ADP-ribosylation factor-like 2
323,403,ARL3,ADP ribosylation factor like GTPase 3,ARFL3,ADP-ribosylation factor-like protein 3|ADP-ribosylation factor-like 3|ARF-like 3
324,405,ARNT,aryl hydrocarbon receptor nuclear translocator,"HIF-1-beta, HIF-1beta, HIF1-beta, HIF1B, HIF1BETA, TANGO, bHLHe2","aryl hydrocarbon receptor nuclear translocator|class E basic helix-loop-helix protein 2|dioxin receptor, nuclear translocator|hypoxia-inducible factor 1, beta subunit"
325,406,ARNTL,aryl hydrocarbon receptor nuclear translocator like,"BMAL1, BMAL1c, JAP3, MOP3, PASD3, TIC, bHLHe5","aryl hydrocarbon receptor nuclear translocator-like protein 1|ARNT-like protein 1, brain and muscle|PAS domain containing 3|PAS domain-containing protein 3|bHLH-PAS protein JAP3|basic helix-loop-helix family member e5|basic-helix-loop-helix-PAS orphan MOP3|basic-helix-loop-helix-PAS protein MOP3|brain and muscle ARNT-like 1|class E basic helix-loop-helix protein 5|member of PAS protein 3|member of PAS superfamily 3|testis tissue sperm-binding protein Li 50e"
326,407,ARR3,arrestin 3,"ARRX, MYP26, cArr",arrestin-C|C-arrestin|arrestin 3 retinal (X-arrestin)|arrestin 4|retinal cone arrestin-3
327,408,ARRB1,arrestin beta 1,"ARB1, ARR1",beta-arrestin-1|arrestin 2|non-visual arrestin-2
328,409,ARRB2,arrestin beta 2,"ARB2, ARR2, BARR2",beta-arrestin-2|arrestin 3|non-visual arrestin-3
329,410,ARSA,arylsulfatase A,"ASA, MLD",arylsulfatase A|cerebroside-sulfatase
330,411,ARSB,arylsulfatase B,"ASB, G4S, MPS6",arylsulfatase B|N-acetylgalactosamine-4-sulfatase
331,412,STS,steroid sulfatase,"ARSC, ARSC1, ASC, ES, SSDD, XLI","steryl-sulfatase|arylsulfatase C|estrone sulfatase|steroid sulfatase (microsomal), isozyme S|steryl-sulfate sulfohydrolase"
332,197021,LCTL,lactase like,"KLG, KLPH",lactase-like protein|KL lactase phlorizin hydrolase|klotho gamma|klotho/lactase-phlorizin hydrolase-related protein
333,414,ARSD,arylsulfatase D,ASD,arylsulfatase D|testis tissue sperm-binding protein Li 39a
334,415,ARSE,arylsulfatase E,"ASE, CDPX, CDPX1, CDPXR",arylsulfatase E|arylsulfatase E (chondrodysplasia punctata 1)
335,417,ART1,ADP-ribosyltransferase 1,"ART2, ARTC1, CD296, RT6",GPI-linked NAD(P)(+)--arginine ADP-ribosyltransferase 1|ADP-ribosyltransferase 2|ADP-ribosyltransferase C2 and C3 toxin-like 1|mono(ADP-ribosyl)transferase 1
336,419,ART3,ADP-ribosyltransferase 3,ARTC3,ecto-ADP-ribosyltransferase 3|ADP-ribosyltransferase C2 and C3 toxin-like 3|NAD(P)(+)--arginine ADP-ribosyltransferase 3|mono(ADP-ribosyl)transferase 3|mono-ADP-ribosyltransferase
337,420,ART4,ADP-ribosyltransferase 4 (Dombrock blood group),"ARTC4, CD297, DO, DOK1",ecto-ADP-ribosyltransferase 4|ADP-ribosyltransferase 4 (DO blood group)|ADP-ribosyltransferase C2 and C3 toxin-like 4|Dombrock blood group carrier molecule|NAD(+)--protein-arginine ADP-ribosyltransferase 4|NAD(P)(+)--arginine ADP-ribosyltransferase 4|mono-ADP-ribosyltransferase 4
338,421,ARVCF,"ARVCF, delta catenin family member",None,armadillo repeat protein deleted in velo-cardio-facial syndrome|armadillo repeat gene deleted in velocardiofacial syndrome
339,424,ARVD3,arrhythmogenic right ventricular dysplasia 3,ARVD2,None
340,425,ARVD4,arrhythmogenic right ventricular dysplasia 4,None,None
341,427,ASAH1,N-acylsphingosine amidohydrolase 1,"AC, ACDase, ASAH, PHP, PHP32, SMAPME",acid ceramidase|N-acylsphingosine amidohydrolase (acid ceramidase) 1|acid CDase|acylsphingosine deacylase|putative 32 kDa heart protein
342,429,ASCL1,achaete-scute family bHLH transcription factor 1,"ASH1, HASH1, MASH1, bHLHa46",achaete-scute homolog 1|ASH-1|achaete scute protein|achaete-scute complex homolog 1|achaete-scute complex-like 1|class A basic helix-loop-helix protein 46
343,430,ASCL2,achaete-scute family bHLH transcription factor 2,"ASH2, HASH2, MASH2, bHLHa45",achaete-scute homolog 2|ASH-2|achaete-scute complex homolog 2|achaete-scute complex-like 2|class A basic helix-loop-helix protein 45|mammalian achaete/scute homologue 2
344,431,ASD1,atrial septal defect 1,None,None
345,432,ASGR1,asialoglycoprotein receptor 1,"ASGPR, ASGPR1, CLEC4H1, HL-1",asialoglycoprotein receptor 1|C-type lectin domain family 4 member H1|hepatic lectin H1
346,433,ASGR2,asialoglycoprotein receptor 2,"ASGP-R2, ASGPR2, CLEC4H2, HBXBP, HL-2",asialoglycoprotein receptor 2|C-type lectin domain family 4 member H2|HBxAg-binding protein|hepatic lectin H2
347,434,ASIP,agouti signaling protein,"AGSW, AGTI, AGTIL, ASP, SHEP9","agouti-signaling protein|agouti signaling protein, nonagouti homolog|agouti switch protein|nonagouti homolog"
348,435,ASL,argininosuccinate lyase,ASAL,argininosuccinate lyase|argininosuccinase|arginosuccinase
349,438,ASMT,acetylserotonin O-methyltransferase,"ASMTY, HIOMT, HIOMTY",acetylserotonin O-methyltransferase|acetylserotonin N-methyltransferase|acetylserotonin methyltransferase (Y chromosome)|hydroxyindole O-methyltransferase
350,65975,STK33,serine/threonine kinase 33,None,serine/threonine-protein kinase 33
351,440,ASNS,asparagine synthetase (glutamine-hydrolyzing),"ASNSD, TS11",asparagine synthetase [glutamine-hydrolyzing]|TS11 cell cycle control protein|glutamine-dependent asparagine synthetase
352,439,ASNA1,"arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)","ARSA-I, ARSA1, ASNA-I, GET3, TRC40",ATPase ASNA1|golgi to ER traffic 3 homolog|transmembrane domain recognition complex 40 kDa ATPase subunit
353,443,ASPA,aspartoacylase,"ACY2, ASP",aspartoacylase|ACY-2|aminoacylase 2
354,444,ASPH,aspartate beta-hydroxylase,"AAH, BAH, CASQ2BP1, FDLAB, HAAH, JCTN, junctin",aspartyl/asparaginyl beta-hydroxylase|A beta H-J-J|ASP beta-hydroxylase|cardiac junctin|humbug|junctate|peptide-aspartate beta-dioxygenase
355,445,ASS1,argininosuccinate synthase 1,"ASS, CTLN1",argininosuccinate synthase|argininosuccinate synthetase 1|citrulline-aspartate ligase
356,65980,BRD9,bromodomain containing 9,"LAVS3040, PRO9856",bromodomain-containing protein 9|rhabdomyosarcoma antigen MU-RMS-40.8|sarcoma antigen NY-SAR-29
357,65979,PHACTR4,phosphatase and actin regulator 4,PPP1R124,"phosphatase and actin regulator 4|protein phosphatase 1, regulatory subunit 124"
358,65983,GRAMD2B,GRAM domain containing 2B,"GRAMD3, NS3TP2",GRAM domain-containing protein 2B|GRAM domain containing 3|GRAM domain-containing protein 3|HCV NS3-transactivated protein 2|hepatitis C virus nonstructural protein 3-transactivating protein 2
359,65981,CAPRIN2,caprin family member 2,"C1QDC1, EEG-1, EEG1, RNG140",caprin-2|C1q domain-containing protein 1|RNA granule protein 140|cytoplasmic activation/proliferation-associated protein 2|gastric cancer multidrug resistance-associated protein
360,65985,AACS,acetoacetyl-CoA synthetase,"ACSF1, SUR-5",acetoacetyl-CoA synthetase|acetoacetate-CoA ligase|acyl-CoA synthetase family member 1|homolog of C. elegans supressor of ras 5 (sur-5)|protein sur-5 homolog
361,65986,ZBTB10,zinc finger and BTB domain containing 10,RINZF,zinc finger and BTB domain-containing protein 10|zinc finger protein RIN ZF|zinc finger protein RINZF
362,65987,KCTD14,potassium channel tetramerization domain containing 14,None,BTB/POZ domain-containing protein KCTD14|potassium channel tetramerisation domain containing 14
363,65989,DLK2,delta like non-canonical Notch ligand 2,"DLK-2, EGFL9","protein delta homolog 2|EGF-like protein 9|EGF-like-domain, multiple 9|delta-like 2 homolog|epidermal growth factor-like protein 9"
364,65990,FAM173A,family with sequence similarity 173 member A,C16orf24,protein FAM173A
365,65991,FUNDC2,FUN14 domain containing 2,"DC44, HCBP6, HCC3, PD03104",FUN14 domain-containing protein 2|HCC-3|cervical cancer oncogene 3|cervical cancer proto-oncogene 3 protein|hepatitis C virus core-binding protein 6
366,65988,ZNF747,zinc finger protein 747,None,KRAB domain-containing protein ZNF747
367,65993,MRPS34,mitochondrial ribosomal protein S34,"COXPD32, MRP-S12, MRP-S34, MRPS12","28S ribosomal protein S34, mitochondrial|S34mt|mitochondrial 28S ribosomal protein S34|mitochondrial small ribosomal subunit protein mS34"
368,65992,DDRGK1,DDRGK domain containing 1,"C20orf116, SEMDSH, UFBP1, dJ1187M17.3",DDRGK domain-containing protein 1|Dashurin|UFM1-binding and PCI domain-containing protein 1|UFM1-binding protein 1 containing a PCI domain
369,460,ASTN1,astrotactin 1,ASTN,astrotactin-1
370,65997,RASL11B,RAS like family 11 member B,None,ras-like protein family member 11B
371,462,SERPINC1,serpin family C member 1,"AT3, AT3D, ATIII, ATIII-R2, THPH7","antithrombin-III|antithrombin III isoform|serine (or cysteine) proteinase inhibitor, clade C (antithrombin), member 1|serpin peptidase inhibitor clade C member 1|serpin peptidase inhibitor, clade C (antithrombin), member 1"
372,463,ZFHX3,zinc finger homeobox 3,"ATBF1, ATBT, ZNF927",zinc finger homeobox protein 3|AT motif-binding factor 1|AT-binding transcription factor 1|ZFH-3|alpha-fetoprotein enhancer binding protein|zinc finger homeodomain protein 3
373,65998,C11orf95,chromosome 11 open reading frame 95,None,uncharacterized protein C11orf95
374,465,ATD,asphixiating thoracic dystrophy (chondroectodermal dysplasia-like syndrome),ATD1,None
375,466,ATF1,activating transcription factor 1,"EWS-ATF1, FUS/ATF-1, TREB36",cyclic AMP-dependent transcription factor ATF-1|cAMP-dependent transcription factor ATF-1
376,467,ATF3,activating transcription factor 3,None,cyclic AMP-dependent transcription factor ATF-3|cAMP-dependent transcription factor ATF-3
377,468,ATF4,activating transcription factor 4,"CREB-2, CREB2, TAXREB67, TXREB",cyclic AMP-dependent transcription factor ATF-4|DNA-binding protein TAXREB67|cAMP response element-binding protein 2|cAMP-dependent transcription factor ATF-4|cAMP-responsive element-binding protein 2|cyclic AMP-responsive element-binding protein 2|tax-responsive enhancer element B67|tax-responsive enhancer element-binding protein 67
378,66000,TMEM108,transmembrane protein 108,"CT124, RTLN",transmembrane protein 108|cancer/testis antigen 124|retrolinkin
379,470,ATHS,atherosclerosis susceptibility (lipoprotein associated),ALP,None
380,471,ATIC,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase,"AICAR, AICARFT, HEL-S-70p, IMPCHASE, PURH",bifunctional purine biosynthesis protein PURH|5-aminoimidazole-4-carboxamide-1-beta-D-ribonucleotide transformylase/inosinicase|AICAR formyltransferase/IMP cyclohydrolase bifunctional enzyme|AICARFT/IMPCHASE|epididymis secretory sperm binding protein Li 70p|phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
381,472,ATM,ATM serine/threonine kinase,"AT1, ATA, ATC, ATD, ATDC, ATE, TEL1, TELO1","serine-protein kinase ATM|A-T mutated|AT mutated|TEL1, telomere maintenance 1, homolog|ataxia telangiectasia mutated"
382,473,RERE,arginine-glutamic acid dipeptide repeats,"ARG, ARP, ATN1L, DNB1, NEDBEH",arginine-glutamic acid dipeptide repeats protein|arginine-glutamic acid dipeptide (RE) repeats|atrophin 2|atrophin-1 like protein|atrophin-1 related protein
383,66008,TRAK2,trafficking kinesin protein 2,"ALS2CR3, CALS-C, GRIF-1, GRIF1, MILT2, OIP98","trafficking kinesin-binding protein 2|O-linked N-acetylglucosamine transferase interacting protein 98|amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 3|amyotrophic lateral sclerosis 2 chromosomal region candidate gene 3 protein|gamma-aminobutyric acid(A) receptor-interacting factor|milton homolog 2|trafficking protein, kinesin binding 2"
384,475,ATOX1,antioxidant 1 copper chaperone,"ATX1, HAH1",copper transport protein ATOX1|ATX1 antioxidant protein 1 homolog|metal transport protein ATX1
385,476,ATP1A1,ATPase Na+/K+ transporting subunit alpha 1,None,"sodium/potassium-transporting ATPase subunit alpha-1|ATPase, Na+/K+ transporting, alpha 1 polypeptide|Na(+)/K(+) ATPase alpha-1 subunit|Na+/K+ ATPase 1|Na, K-ATPase, alpha-A catalytic polypeptide|Na,K-ATPase alpha-1 subunit|Na,K-ATPase catalytic subunit alpha-A protein|sodium pump subunit alpha-1|sodium-potassium ATPase catalytic subunit alpha-1|sodium-potassium-ATPase, alpha 1 polypeptide"
386,477,ATP1A2,ATPase Na+/K+ transporting subunit alpha 2,"FHM2, MHP2","sodium/potassium-transporting ATPase subunit alpha-2|ATPase Na+/K+ transporting alpha 2 polypeptide|Na(+)/K(+) ATPase alpha-2 subunit|Na+/K+ ATPase, alpha-A(+) catalytic polypeptide|Na+/K+ ATPase, alpha-B polypeptide|sodium pump subunit alpha-2|sodium-potassium ATPase catalytic subunit alpha-2|sodium/potassium-transporting ATPase alpha-2 chain"
387,478,ATP1A3,ATPase Na+/K+ transporting subunit alpha 3,"AHC2, ATP1A1, CAPOS, DYT12, RDP","sodium/potassium-transporting ATPase subunit alpha-3|ATPase, Na+/K+ transporting, alpha 3 polypeptide|Na(+)/K(+) ATPase alpha(III) subunit|Na(+)/K(+) ATPase alpha-3 subunit|Na+, K+ activated adenosine triphosphatase alpha subunit|Na+/K+ ATPase 3|sodium pump subunit alpha-3|sodium-potassium ATPase catalytic subunit alpha-3|sodium-potassium-ATPase, alpha 3 polypeptide|sodium/potassium-transporting ATPase alpha-3 chain"
388,474,ATOH1,atonal bHLH transcription factor 1,"ATH1, HATH1, MATH-1, bHLHa14",protein atonal homolog 1|atonal homolog 1|atonal homolog bHLH transcription factor 1|class A basic helix-loop-helix protein 14|helix-loop-helix protein hATH-1
389,131544,CRYBG3,crystallin beta-gamma domain containing 3,"DKFZp667G2110, vlAKAP",very large A-kinase anchor protein|beta-gamma crystallin domain containing 3|beta/gamma crystallin domain-containing protein 3
390,481,ATP1B1,ATPase Na+/K+ transporting subunit beta 1,ATP1B,"sodium/potassium-transporting ATPase subunit beta-1|ATPase, Na+/K+ transporting, beta 1 polypeptide|Beta 1-subunit of Na(+),K(+)-ATPase|Na, K-ATPase beta-1 polypeptide|adenosinetriphosphatase|sodium pump subunit beta-1|sodium-potassium ATPase subunit beta 1 (non-catalytic)|sodium/potassium-dependent ATPase beta-1 subunit|sodium/potassium-transporting ATPase beta-1 chain"
391,482,ATP1B2,ATPase Na+/K+ transporting subunit beta 2,AMOG,"sodium/potassium-transporting ATPase subunit beta-2|ATPase, Na+/K+ transporting, beta 2 polypeptide|Na, K-ATPase beta-2 polypeptide|adhesion molecule in glia|adhesion molecule on glia|sodium pump subunit beta-2|sodium-potassium ATPase subunit beta 2 (non-catalytic)|sodium/potassium-dependent ATPase beta-2 subunit|sodium/potassium-dependent ATPase subunit beta-2|sodium/potassium-transporting ATPase beta-2 chain"
392,483,ATP1B3,ATPase Na+/K+ transporting subunit beta 3,"ATPB-3, CD298","sodium/potassium-transporting ATPase subunit beta-3|ATPase, Na+/K+ transporting, beta 3 polypeptide|Na, K-ATPase beta-3 polypeptide|sodium pump subunit beta-3|sodium-potassium ATPase subunit beta 3 (non-catalytic)|sodium/potassium-dependent ATPase subunit beta-3|sodium/potassium-transporting ATPase beta-3 chain"
393,479,ATP12A,ATPase H+/K+ transporting non-gastric alpha2 subunit,"ATP1AL1, HK","potassium-transporting ATPase alpha chain 2|ATPase, H+/K+ transporting, nongastric, alpha polypeptide|ATPase, Na+/K+ transporting, alpha polypeptide-like 1"
394,486,FXYD2,FXYD domain containing ion transport regulator 2,"ATP1G1, HOMG2","sodium/potassium-transporting ATPase subunit gamma|ATPase, Na+/K+ transporting, gamma 1 polypeptide|Na(+)/K(+) ATPase subunit gamma|sodium pump gamma chain"
395,487,ATP2A1,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1,"ATP2A, SERCA1","sarcoplasmic/endoplasmic reticulum calcium ATPase 1|ATPase, Ca++ transporting, cardiac muscle, fast twitch 1|SR Ca(2+)-ATPase 1|calcium pump 1|calcium-transporting ATPase sarcoplasmic reticulum type, fast twitch skeletal muscle isoform|endoplasmic reticulum class 1/2 Ca(2+) ATPase"
396,488,ATP2A2,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2,"ATP2B, DAR, DD, SERCA2","sarcoplasmic/endoplasmic reticulum calcium ATPase 2|ATPase Ca++ transporting cardiac muscle slow twitch 2|ATPase, Ca++ dependent, slow-twitch, cardiac muscle-2|SR Ca(2+)-ATPase 2|calcium pump 2|calcium-transporting ATPase sarcoplasmic reticulum type, slow twitch skeletal muscle isoform|cardiac Ca2+ ATPase|endoplasmic reticulum class 1/2 Ca(2+) ATPase"
397,489,ATP2A3,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3,SERCA3,"sarcoplasmic/endoplasmic reticulum calcium ATPase 3|ATPase, Ca(2+)-transporting, ubiquitous|ATPase, Ca++ transporting, ubiquitous|SR Ca(2+)-ATPase 3|adenosine triphosphatase, calcium|calcium pump 3|calcium-translocating P-type ATPase|sarco/endoplasmic reticulum Ca2+ -ATPase"
398,490,ATP2B1,ATPase plasma membrane Ca2+ transporting 1,"PMCA1, PMCA1kb","plasma membrane calcium-transporting ATPase 1|ATPase, Ca++ transporting, plasma membrane 1|plasma membrane calcium pump"
399,491,ATP2B2,ATPase plasma membrane Ca2+ transporting 2,"PMCA2, PMCA2a, PMCA2i","plasma membrane calcium-transporting ATPase 2|ATPase, Ca++ transporting, plasma membrane 2|plasma membrane Ca(2+)-ATPase|plasma membrane Ca2+ pump 2|plasma membrane calcium ATPase|plasma membrane calcium pump"
400,492,ATP2B3,ATPase plasma membrane Ca2+ transporting 3,"CFAP39, CLA2, OPCA, PMCA3, PMCA3a, SCAX1","plasma membrane calcium-transporting ATPase 3|ATPase, Ca++ transporting, plasma membrane 3|cilia and flagella associated protein 39|plasma membrane calcium ATPase|plasma membrane calcium pump"
401,493,ATP2B4,ATPase plasma membrane Ca2+ transporting 4,"ATP2B2, MXRA1, PMCA4, PMCA4b, PMCA4x","plasma membrane calcium-transporting ATPase 4|ATPase, Ca++ transporting, plasma membrane 4|matrix-remodeling-associated protein 1|sarcolemmal calcium pump"
402,131566,DCBLD2,"discoidin, CUB and LCCL domain containing 2","CLCP1, ESDN","discoidin, CUB and LCCL domain-containing protein 2|1700055P21Rik|CUB, LCCL and coagulation factor V/VIII-homology domains protein 1|coagulation factor V/VIII-homology domains protein 1|endothelial and smooth muscle cell-derived neuropilin-like protein"
403,495,ATP4A,ATPase H+/K+ transporting subunit alpha,ATP6A,"potassium-transporting ATPase alpha chain 1|ATPase H+/K+ transporting alpha subunit|ATPase, H+/K+ exchanging, alpha polypeptide|ATPase, H+/K+ transporting, alpha polypeptide|gastric H+/K+ ATPase alpha subunit|gastric H,K-ATPase catalytic subunit|gastric hydrogen-potassium ATPase|proton pump"
404,496,ATP4B,ATPase H+/K+ transporting subunit beta,ATP6B,"potassium-transporting ATPase subunit beta|ATPase H+/K+ transporting beta subunit|ATPase, H+/K+ exchanging, beta polypeptide|ATPase, H+/K+ transporting, beta polypeptide|gastric H(+)/K(+) ATPase subunit beta|gastric H+/K+ ATPase beta subunit|gastric hydrogen-potassium ATPase, beta|potassium-transporting ATPase beta chain|proton pump beta chain"
405,498,ATP5F1A,ATP synthase F1 subunit alpha,"ATP5A, ATP5A1, ATP5AL2, ATPM, COXPD22, HEL-S-123m, MC5DN4, MOM2, OMR, ORM, hATP1","ATP synthase subunit alpha, mitochondrial|ATP synthase alpha chain, mitochondrial|ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle|ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, isoform 1, cardiac muscle|ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, isoform 2, non-cardiac muscle-like 2|ATP sythase (F1-ATPase) alpha subunit|epididymis secretory sperm binding protein Li 123m|mitochondrial ATP synthetase, oligomycin-resistant"
406,66035,SLC2A11,solute carrier family 2 member 11,"GLUT10, GLUT11","solute carrier family 2, facilitated glucose transporter member 11|facilitative glucose transporter GLUT11|glucose transporter protein 10|glucose transporter protein 11|glucose transporter type 10|glucose transporter type 11|glucose transporter-like protein XI|solute carrier family 2 (facilitated glucose transporter), member 11"
407,66036,MTMR9,myotubularin related protein 9,"C8orf9, LIP-STYX, MTMR8",myotubularin-related protein 9|myotubularin related protein 8
408,501,ALDH7A1,aldehyde dehydrogenase 7 family member A1,"ATQ1, EPD, PDE",alpha-aminoadipic semialdehyde dehydrogenase|26g turgor protein homolog|P6c dehydrogenase|alpha-AASA dehydrogenase|antiquitin-1|betaine aldehyde dehydrogenase|delta1-piperideine-6-carboxylate dehydrogenase
409,66037,BOLL,"boule homolog, RNA binding protein",BOULE,"protein boule-like|bol, boule-like|boule-like RNA binding protein"
410,506,ATP5F1B,ATP synthase F1 subunit beta,"ATP5B, ATPMB, ATPSB, HEL-S-271","ATP synthase subunit beta, mitochondrial|ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide|epididymis secretory protein Li 271|mitochondrial ATP synthase beta subunit|mitochondrial ATP synthetase, beta subunit"
411,131578,LRRC15,leucine rich repeat containing 15,LIB,leucine-rich repeat-containing protein 15|hLib|leucine-rich repeat protein induced by beta amyloid|leucine-rich repeat protein induced by beta-amyloid homolog
412,66043,Atp5d,"ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit","0610008F14Rik, 1500000I11Rik, AA960090, AI876556, AU020773, Atp5f1d, C85518","ATP synthase subunit delta, mitochondrial|ATP synthase F1 subunit delta|F-ATPase delta subunit"
413,509,ATP5F1C,ATP synthase F1 subunit gamma,"ATP5C, ATP5C1, ATP5CL1","ATP synthase subunit gamma, mitochondrial|ATP synthase gamma chain, mitochondrial|ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1|F-ATPase gamma subunit|mitochondrial ATP synthase, gamma subunit 1"
414,131583,FAM43A,family with sequence similarity 43 member A,None,protein FAM43A
415,513,ATP5F1D,ATP synthase F1 subunit delta,ATP5D,"ATP synthase subunit delta, mitochondrial|ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit|F-ATPase delta subunit|mitochondrial ATP synthase complex delta-subunit precusor|mitochondrial ATP synthase, delta subunit"
416,514,ATP5F1E,ATP synthase F1 subunit epsilon,"ATP5E, ATPE, MC5DN3","ATP synthase subunit epsilon, mitochondrial|ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit|F(0)F(1)-ATPase|H(+)-transporting two-sector ATPase|mitochondrial ATP synthase epsilon chain|mitochondrial ATPase"
417,515,ATP5PB,ATP synthase peripheral stalk-membrane subunit b,"ATP5F1, PIG47","ATP synthase F(0) complex subunit B1, mitochondrial|ATP synthase B chain, mitochondrial|ATP synthase proton-transporting mitochondrial F(0) complex subunit B1|ATP synthase subunit b, mitochondrial|ATP synthase, H+ transporting, mitochondrial F0 complex, subunit B1|ATP synthase, H+ transporting, mitochondrial F0 complex, subunit b|ATP synthase, H+ transporting, mitochondrial Fo complex subunit B1|ATPase subunit b|H+-ATP synthase subunit b|cell proliferation-inducing protein 47"
418,516,ATP5MC1,ATP synthase membrane subunit c locus 1,"ATP5A, ATP5G, ATP5G1","ATP synthase F(0) complex subunit C1, mitochondrial|ATP synthase lipid-binding protein, mitochondrial|ATP synthase proteolipid P1|ATP synthase proton-transporting mitochondrial F(0) complex subunit C1|ATP synthase subunit 9|ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9)|ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9)|ATP synthase, H+ transporting, mitochondrial Fo complex subunit C1 (subunit 9)|ATPase protein 9|ATPase subunit 9|ATPase subunit C|mitochondrial ATP synthase, subunit 9|mitochondrial ATP synthase, subunit C"
419,517,ATP5MC2,ATP synthase membrane subunit c locus 2,"ATP5A, ATP5G2","ATP synthase F(0) complex subunit C2, mitochondrial|ATP synthase c subunit|ATP synthase lipid-binding protein, mitochondrial|ATP synthase proteolipid P2|ATP synthase proton-transporting mitochondrial F(0) complex subunit C2|ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C2 (subunit 9)|ATP synthase, H+ transporting, mitochondrial Fo complex subunit C2 (subunit 9)|ATPase protein 9|ATPase subunit C"
420,518,ATP5MC3,ATP synthase membrane subunit c locus 3,"ATP5G3, P3","ATP synthase F(0) complex subunit C3, mitochondrial|ATP synthase lipid-binding protein, mitochondrial|ATP synthase proteolipid P3|ATP synthase proton-transporting mitochondrial F(0) complex subunit C3|ATP synthase subunit 9|ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3 (subunit 9)|ATP synthase, H+ transporting, mitochondrial Fo complex subunit C3 (subunit 9)|ATP synthase, mitochondrial, C subunit-3|ATPase protein 9|ATPase subunit C"
421,521,ATP5ME,ATP synthase membrane subunit e,"ATP5I, ATP5K","ATP synthase subunit e, mitochondrial|ATP synthase e chain, mitochondrial|ATP synthase, H+ transporting, mitochondrial F0 complex, subunit E|ATP synthase, H+ transporting, mitochondrial Fo complex subunit E|ATPase subunit e|F1F0-ATP synthase, murine e subunit"
